Blog	small	almost	yet	remember	course	wanted	whole	ready	soon	morning	making	change	doesn	maybe	someone	open	free	coming	anything	finally	believe	myself	ago	able	far	makes	yes	job	person	call	tell	decided	show	must	sometimes	couple	kind	name	wasn	set	pretty	stop	weeks	seems	asked	along	kids	story	high	run	months	heart	given	knew	become	short	food	saw	experience	close	live	real	else	used	idea	between	watch	less	told	girl	pictures	play	won	wait	city	seen	bad	probably	nice	reading	fact	true	quite	summer	early	group	words	book	month	however	ask	head	leave	wonderful	talk	thinking	children	wrong	special	team	com	excited	rest	guess	outside	easy	often	loved	water	hand	under	visit	picture	felt	god	means	car	enjoy	side	write	mom	thanks	lost	stay	weekend	turn	gone	line	moment	several	hear	oh	move	mean	favorite	running	others	amp	gave	goes	beautiful	comes	isn	spent	christmas	young	face	check	watching	walk	share	needed	parents	rather	future	half	sunday	late	talking	care	bring	taken	anyone	money	important	top	order	living	perfect	dinner	number	behind	looked	reason	playing	taking	although	mother	instead	couldn	above	thank	please	birthday	baby	problem	father	news	fall	minutes	heard	either	break	feeling	meet	across	friday	matter	spend	fast	son	drive	takes	eat	seem	single	gets	brought	tried	music	turned	lives	possible	forward	looks	eyes	happened	busy	haven	miss	road	yesterday	lots	learn	huge	stuff	using	amazing	interesting	hour	saturday	sense	cold	understand	giving	table	four	st	step	knows	light	trip	return	guy	men	case	local	near	project	happen	simply	hold	yourself	area	especially	dad	says	needs	hit	books	john	list	plan	form	question	students	red	recently	worked	inside	continue	usually	hands	opportunity	simple	class	whether	power	age	chance	whatever	longer	white	women	following	video	party	http	met	entire	self	funny	kept	moved	bed	cute	b	wish	cannot	against	park	quickly	known	certain	etc	view	waiting	ones	service	saying	wants	lunch	store	questions	child	date	pick	anyway	www	grow	pain	works	gift	example	support	public	including	cool	feet	five	final	main	writing	moving	research	worth	similar	e	proud	sweet	fear	perhaps	green	strong	crazy	due	country	large	church	game	based	wouldn	below	upon	event	x	front	exactly	fine	body	sleep	ran	season	lead	minute	ground	pass	company	turns	poor	boy	tomorrow	state	wife	available	weather	sister	deal	husband	attention	girls	middle	themselves	woman	issues	air	truly	dream	issue	within	college	style	problems	present	slow	word	received	art	thoughts	super	normal	changed	ways	passed	places	third	filled	current	information	fire	link	stand	email	sun	mostly	finish	seeing	written	guys	black	town	except	program	tv	death	page	regular	finished	add	hot	song	human	beyond	facebook	answer	forget	loves	changes	travel	process	coffee	born	america	evening	missing	sitting	happens	blue	okay	community	moments	faith	himself	growing	field	blood	buy	follow	difficult	arrived	sort	awesome	held	street	website	walking	nearly	deep	sit	july	smile	movie	monday	clear	eating	mentioned	daily	further	asking	helped	phone	driving	quick	choice	november	door	ok	ended	non	learned	american	telling	key	sorry	afternoon	wonder	beginning	cut	figure	wrote
Another Day in Paradise...	2	6	1	2	8	1	2	7	1	0	3	2	3	10	0	0	3	2	0	1	5	4	8	8	4	2	0	3	0	1	1	7	6	1	6	3	2	0	3	1	4	3	5	3	0	2	15	0	0	4	4	1	1	0	2	0	2	1	7	4	4	0	1	0	5	1	4	1	1	4	2	1	2	3	5	2	0	1	7	2	0	2	3	10	7	6	4	1	6	0	3	0	3	8	2	2	3	3	0	4	2	17	3	3	1	5	1	12	1	2	0	6	0	1	0	2	0	7	1	0	3	0	0	0	26	0	6	0	2	2	1	3	1	0	5	3	1	2	0	1	6	0	6	7	1	1	1	2	3	2	1	2	11	1	1	2	8	1	1	0	0	0	0	1	3	1	0	3	2	18	0	1	2	0	4	6	3	0	1	1	1	3	0	1	3	0	1	0	4	0	1	1	1	3	4	0	7	1	3	2	2	2	1	2	0	0	1	1	0	1	2	4	2	0	2	1	3	13	1	2	0	2	0	1	5	2	0	16	0	0	17	0	2	1	1	0	1	5	0	1	0	9	2	0	0	1	4	1	0	1	0	0	1	1	0	1	0	0	2	0	0	1	1	0	0	0	0	1	3	0	2	0	0	3	0	2	0	1	2	9	0	4	0	1	1	1	5	2	1	1	0	2	0	2	0	1	1	2	1	0	6	1	2	2	2	1	1	4	2	0	0	4	2	2	1	0	2	5	1	1	0	1	1	0	2	0	1	2	2	0	0	0	1	1	0	0	1	0	5	0	1	0	7	1	4	0	9	2	5	2	1	1	0	1	1	0	0	1	2	0	1	3	2	0	4	0	3	3	0	0	0	2	2	0	0	10	3	1	2	0	25	4	0	0	1	1	1	0	1	0	0	1	0	1	0	0	2	1	0	4	2	1	3	1	1	0	3	0	0	0	0	0	0	2	3	1	0	0	0	0	4	1	1	0	0	0	0	7	1	2	0	0	0	0	1	0	0	2	1	0	0	0	0	4	1	0	1	2	0	1	2	0	0	2	3	0	1	0	0	5	0	8	0	0	0	0	0	0	2	2	0	1	6	0	1	0	1	0	0	2	0	1	1	0	0	1	2	0	0	2	1	0	0	0	5	0	1	0	1	2
Rhinoplastique presents: The Blind Spot	0	4	5	2	1	4	6	1	2	1	1	2	1	5	2	2	4	3	4	0	1	3	1	0	0	1	4	4	1	1	0	0	6	4	0	5	1	2	4	2	2	0	1	0	2	1	0	4	2	1	6	0	8	3	1	1	1	1	2	1	0	0	3	1	0	1	2	0	1	3	0	3	3	0	1	2	1	0	1	4	0	4	1	7	4	0	0	8	0	0	0	3	0	0	3	1	0	2	0	1	1	0	1	1	2	3	3	0	0	1	2	2	0	0	0	2	0	1	2	6	0	2	1	1	1	1	1	0	0	0	0	1	0	1	1	4	1	10	0	3	1	0	0	3	1	3	2	0	0	0	2	1	2	0	0	3	1	2	0	1	0	0	4	1	0	17	0	1	0	1	1	1	0	0	0	1	0	0	1	5	0	1	1	0	0	2	2	0	0	1	2	3	0	0	0	0	2	1	1	2	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	3	5	3	3	4	0	3	0	2	6	1	0	1	0	4	1	1	2	1	0	2	0	1	0	0	1	4	1	5	0	0	0	1	0	0	0	0	0	2	1	0	2	2	2	3	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	4	1	3	1	1	1	0	0	1	0	1	2	0	0	0	1	4	0	2	2	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	2	0	0	0	1	1	0	1	1	0	0	0	2	0	0	3	0	0	2	0	0	1	0	0	3	0	0	1	0	0	0	0	2	0	2	0	0	2	3	0	1	0	1	0	1	7	0	1	0	2	0	1	0	2	0	1	1	0	2	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	3	1	0	2	0	1	0	0	2	0	0	0	0	1	0	0	1	3	4	1	2	0	4	0	0	2	0	0	0	0	0	0	2	1	0	1	0	0	1	0	2	2	0	0	0	0	1	5	1	0	0	1	0	0	0	2	1	0	0	0	4	0	0	0	0	0	0	1	1	1	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	2	0	2	2	0	0	2
Web Science and Digital Libraries Research Group	11	4	2	0	6	4	4	4	7	2	8	19	4	2	3	13	7	3	1	4	5	0	1	18	6	4	2	2	2	0	2	1	13	5	2	5	1	2	1	29	2	3	0	5	18	11	0	8	9	4	3	3	18	5	3	12	0	2	5	9	18	7	3	26	5	36	6	6	2	2	3	5	5	1	8	3	1	4	4	7	0	2	3	1	8	28	5	9	0	9	5	1	2	1	21	6	3	1	6	17	56	1	15	4	2	8	4	2	1	7	5	3	4	6	0	19	0	2	7	0	0	3	6	3	3	1	2	9	1	8	0	1	2	6	1	9	10	22	28	2	1	2	2	3	0	3	1	5	1	4	6	6	0	10	16	4	3	1	1	4	2	4	2	0	10	11	8	3	2	2	10	8	1	2	0	1	5	0	12	3	11	3	5	0	2	20	0	28	2	2	3	8	8	0	6	4	1	0	1	4	0	6	2	0	2	15	4	2	2	6	3	1	6	9	1	0	1	0	1	3	0	0	5	2	1	3	50	7	8	1	2	0	0	3	4	3	6	1	5	2	0	15	4	1	6	16	8	2	34	3	4	2	2	3	2	0	0	6	2	4	3	7	5	13	14	16	7	3	5	2	4	2	1	4	8	4	1	6	4	2	4	11	7	51	22	23	5	197	2	6	9	0	0	4	0	0	8	1	6	3	2	3	4	0	15	8	2	3	14	6	0	13	12	16	0	17	1	0	31	2	0	10	0	38	24	15	17	0	0	6	7	9	3	1	37	4	2	33	0	1	0	3	5	0	0	9	1	15	2	1	33	0	14	4	8	42	2	1	1	1	0	1	4	2	6	4	0	5	1	0	0	0	29	0	36	0	1	3	0	1	1	0	5	2	4	0	0	0	2	7	5	5	7	16	0	1	5	6	2	2	0	9	1	0	4	8	1	29	60	3	55	0	3	8	1	0	3	6	0	4	0	1	6	3	2	85	4	4	6	0	0	13	5	7	6	0	0	11	6	11	2	1	2	4	9	0	2	2	0	13	0	0	0	0	7	0	0	8	11	3	3	0	6	0	12	2	0	1	4	8	1	0	1	2	0	9	0	14	1	3	1	0	2	2	9	0	8	3	6	5	1	6	2	0	0	0	1	0	2	3
Ahmed Abd-ElHaffiez Hussein	0	0	0	2	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	3	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0
THE COLT's	0	6	1	1	3	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	1	2	1	1	1	1	0	0	1	0	2	0	0	3	4	0	1	0	4	0	0	0	1	0	2	2	1	0	0	0	0	0	1	0	0	0	0	0	2	4	1	4	0	1	1	1	0	1	0	0	3	2	3	1	3	1	4	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	1	1	5	3	0	1	1	0	0	0	0	0	0	0	0	4	2	0	0	4	0	0	0	3	0	0	2	0	0	2	0	2	0	2	0	0	1	0	0	5	0	0	1	1	0	0	0	1	0	1	0	1	0	3	3	1	1	0	0	0	0	0	0	2	0	0	0	0	0	3	1	2	0	0	0	0	1	1	5	6	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	5	1	1	2	0	0	0	0	0	0	1	1	3	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	6	0	0	0	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	10	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	8	2	0	0	0	1	0	2	0	0	0	0	0	3	0	0	3	0	1	0	1	1	3	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	1	0	0	0
Woo University	2	1	0	2	6	1	4	1	1	2	1	2	8	5	3	1	10	3	0	0	2	0	2	2	0	0	0	1	3	2	1	0	1	5	0	3	5	2	6	0	1	0	0	2	1	1	5	1	1	1	1	0	0	3	2	4	1	0	0	1	2	4	1	1	3	0	0	1	3	2	0	0	1	2	0	2	3	4	3	0	4	0	0	1	0	3	1	0	0	0	3	1	1	0	0	1	0	6	1	5	0	0	1	0	0	0	0	0	0	1	3	1	1	0	18	2	1	0	3	2	1	0	1	0	0	2	2	1	0	1	1	7	0	3	1	1	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	6	0	0	1	4	3	3	0	2	0	0	4	3	1	1	1	0	2	0	0	0	2	1	2	2	0	1	1	0	0	2	0	1	0	1	0	2	0	1	1	2	0	2	2	0	0	1	3	0	2	0	3	4	1	0	1	1	0	0	3	1	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	0	1	1	0	0	0	10	3	0	0	1	0	4	0	0	0	0	0	1	0	2	1	0	3	0	2	0	0	0	1	1	0	0	2	0	0	2	1	4	1	1	1	1	0	1	5	6	0	0	4	0	1	1	2	1	1	1	0	0	0	2	1	1	0	0	0	0	0	1	0	6	4	1	4	1	0	1	0	0	1	4	0	0	0	1	0	0	0	0	1	1	2	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	4	2	3	0	0	0	0	0	0	0	0	1	1	1	0	0	1	3	0	0	0	0	0	3	2	0	2	4	0	0	1	0	0	1	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	4	0	1	0	0	0	0	3	2	0	1	0	0	13	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	11	0	0	1	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	1	1	1	0	0	10	1	0	1	0	2	0	0	1	0
The Sent Out One	2	1	5	3	2	4	0	0	0	4	5	2	0	6	13	7	6	3	3	1	16	5	0	0	0	1	5	1	9	8	6	0	3	10	2	4	5	4	0	3	0	6	1	1	6	2	1	9	5	2	1	5	7	1	7	1	1	1	6	0	14	5	9	3	1	2	2	1	3	0	0	0	0	1	3	2	3	2	0	3	7	8	2	0	2	6	7	4	1	11	3	1	9	1	3	5	5	7	2	1	0	0	0	2	5	2	10	0	1	1	3	0	3	2	113	4	1	1	0	1	0	0	1	2	1	2	1	2	2	1	3	2	0	2	1	1	6	0	0	1	3	4	1	1	0	4	3	0	0	14	4	0	1	10	1	1	1	1	2	0	0	2	3	2	4	1	11	1	2	0	3	4	4	6	0	1	2	0	6	0	2	1	1	0	1	5	8	2	1	1	5	2	0	4	2	2	0	6	1	1	3	0	0	0	6	0	0	3	0	3	0	12	1	1	1	4	1	1	3	1	2	1	0	2	0	1	2	2	0	1	0	4	0	8	0	1	1	0	5	0	8	0	0	1	0	3	0	0	3	3	5	4	4	0	5	0	3	1	0	0	8	0	0	1	5	3	1	3	1	1	6	0	2	1	2	0	9	2	5	2	1	3	0	2	3	0	0	1	4	3	6	1	1	2	2	0	1	2	6	10	0	4	0	2	1	4	0	3	1	11	2	0	1	2	3	0	1	0	1	0	0	2	7	3	3	0	1	0	0	0	2	0	2	0	2	1	0	2	1	0	5	0	0	0	1	5	0	5	39	0	2	1	0	2	0	0	1	1	1	4	0	0	0	2	1	2	0	0	0	4	0	1	0	0	2	0	0	1	0	7	0	1	6	9	1	1	4	0	0	9	0	3	0	2	5	8	3	1	3	0	2	1	5	2	1	0	3	3	0	0	0	3	0	1	0	0	2	2	0	0	0	1	0	0	4	0	1	0	0	0	0	4	1	0	3	0	0	0	0	2	1	0	1	0	1	0	0	0	1	3	4	18	1	0	1	0	0	6	6	0	0	0	0	0	0	3	0	3	4	0	0	0	0	2	1	0	4	3	2	0	0	2	1	3	0	0	1	1	1	0	0	3	2	1	0	1	2	0	1	1
Matiz & Toscana	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	4	1	0	0	2	1	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	3	0	3	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Keeping Up with The Joneses	1	3	1	1	6	5	1	11	0	9	1	0	2	0	1	2	0	0	0	3	3	0	1	5	2	0	1	7	1	1	2	1	4	0	0	0	1	0	2	3	1	0	6	1	3	0	32	0	1	6	1	0	0	0	0	0	3	1	3	0	0	3	0	1	1	0	2	0	3	6	10	3	2	4	1	0	0	0	0	2	0	0	1	8	3	0	0	1	0	1	0	2	3	2	0	1	1	1	6	0	0	13	0	1	3	0	0	13	3	1	0	1	8	1	0	1	1	1	0	0	6	2	0	2	0	2	5	2	0	6	0	1	0	1	3	6	0	0	5	2	4	1	3	2	0	2	5	1	5	0	0	4	6	0	1	2	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	5	3	1	10	0	7	0	1	0	10	13	0	8	1	0	2	0	0	1	1	1	0	1	0	3	7	0	0	2	2	0	0	1	2	1	2	0	0	0	0	4	9	0	0	0	2	0	0	6	0	0	0	2	0	0	0	2	0	0	3	1	2	0	0	1	0	1	2	0	0	1	0	1	0	4	0	0	4	0	0	1	4	0	4	2	5	0	1	0	0	0	5	1	0	3	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	11	0	2	0	0	1	2	0	3	6	2	0	0	0	3	0	0	0	1	1	1	2	0	0	1	8	0	0	0	3	2	1	0	0	0	2	4	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	7	6	0	0	1	0	0	0	1	0	0	8	1	1	0	0	0	0	0	0	0	0	1	8	1	0	2	0	0	2	0	0	3	0	0	0	0	0	3	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	4	0	0	0	0	1	0	5	0	1	0	1	0	0	0	0	3	1	0	0	0	3	0	1	0	0	1	1	0	0	4	0	0	0	1	3	0	1	0	2	0	3	0	0	0	0	1	0	5	0	0	0	0	0	1	6	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	1	3	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0
Exploring Cleveland	0	1	2	0	0	1	2	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	1	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	1	3	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bali Driver &  Local Guide	2	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	10	1	0	1	0	0	0	2	0	0	0	0	11	2	0	0	5	1	2	0	0	3	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	3	0	4	0	0	0	0	2	0	0	2	5	1	0	0	0	0	0	3	0	0	0	2	0	0	0	3	0	0	2	0	2	0	0	1	0	4	0	0	0	0	0	9	0	12	0	0	0	1	5	2	0	4	0	0	6	0	0	1	0	13	6	0	0	0	14	0	11	0	0	0	0	2	2	0	0	0	0	0	1	1	21	1	0	8	1	0	0	0	0	0	2	2	6	2	0	2	0	0	2	1	1	0	0	0	0	1	2	0	0	1	4	2	7	0	0	0	0	0	0	0	4	2	0	1	8	5	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	3	0	0	5	0	2	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	3	6	0	0	0	21	0	0	0	0	0	0	18	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	5	0	1	0	0	0	0	0	12	0	0	6	0	1	1	1	4	0	3	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	3	0	14	0	0	0	0	2	0	0	7	1	0	0	0	0	0	0	0	1	4	5	0	0	0	0	2	2	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	3	0	0	0	4	0	2	3	0	0	0	8	0	2	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	1
Under the Sycamore Tree	4	2	38	3	1	6	3	13	7	4	0	1	0	0	3	5	4	4	4	4	15	2	7	3	8	5	23	2	4	8	13	1	10	16	3	1	3	30	0	8	2	1	3	4	8	3	1	3	5	2	3	20	16	4	8	5	3	5	6	2	12	2	8	12	3	6	1	4	11	0	0	1	1	2	2	8	6	1	0	8	7	8	2	11	1	4	13	25	5	5	10	3	11	4	4	1	13	2	3	0	3	0	7	1	6	3	7	7	4	9	7	1	5	1	105	3	0	3	2	4	1	0	5	0	0	5	3	5	4	4	15	1	2	6	2	3	22	6	8	4	5	2	0	1	1	8	3	0	2	4	2	3	2	17	0	0	1	1	1	9	4	2	6	10	4	8	6	6	5	0	4	2	2	3	1	1	0	7	10	0	8	7	9	3	1	3	18	3	10	0	5	3	0	0	1	4	3	7	2	1	19	0	4	2	7	1	4	10	0	1	3	5	5	3	3	5	2	0	0	1	0	1	1	3	0	0	4	1	3	7	0	3	1	7	5	23	1	5	2	1	10	1	4	1	32	0	2	4	2	3	3	3	5	0	6	0	11	1	0	10	20	1	1	5	4	14	1	9	0	1	2	4	5	2	3	8	5	3	3	0	2	6	0	1	8	3	0	0	0	0	2	7	0	1	1	1	0	3	4	11	0	4	4	4	0	4	2	2	6	10	2	1	0	2	8	3	0	0	0	2	2	3	3	6	5	3	1	0	2	2	5	2	2	1	2	0	5	5	2	0	4	11	3	1	0	1	1	4	50	3	5	0	4	9	3	23	2	3	0	15	1	5	2	3	1	1	0	1	0	6	0	0	5	5	0	0	0	1	2	6	0	1	2	4	1	0	2	1	1	5	4	75	0	3	1	23	4	8	3	1	21	1	6	0	4	4	4	3	1	4	0	1	0	2	2	0	8	5	1	1	1	1	2	3	13	1	0	0	1	0	7	6	3	1	7	0	2	2	1	0	1	5	5	0	1	2	0	3	0	1	0	10	5	7	1	2	1	4	0	0	1	1	4	1	1	4	1	2	2	5	0	8	1	5	0	0	1	6	2	2	0	0	1	1	1	1	0	1	1	4	1	2	1	0	1	1	5	1	3	10
